Family , Metal Loading [wt.%],CR Metal [pm], Support 1,MW Support 1 [g mol-1],Name of Support2,MW of Support 2 [g mol-1],Name of Support 3,MW Support 3 [g mol-1],Total MW of Support [g mol-1], Promoter 1,Promoter 1 loading [wt.%],Promoter 2,Promoter 2 loading [wt.%],Calcination Temperature [K],Calcination duration [h],SBET [m2 g-1],H2/CO2 [-],GHSV [cm3 h-1 gcat-1],Catalyst amount [g],Pressure [Mpa],Temperature [K],STY [mgh-1 g-1],
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,0,0.2,623,2,9,10,115500,0.5,6,598,2620,DOI: 10.1126/sciadv.abi6012
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,0,0.2,623,2,9,8,94500,0.5,6,598,2400,DOI: 10.1126/sciadv.abi6012
Cu,36.5,138,ZnO,81.38,0,0,SBA-15,60,141.38,Mn,2.7,0,0,573,4,218,3,120000,0.02,4,453,2233.6,https://doi.org/10.1016/j.ijhydene.2018.03.202
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,0,0.2,623,2,9,10,115500,0.5,4,598,2230,DOI: 10.1126/sciadv.abi6012
Cu,36.5,138,ZnO,81.38,SBA-15,60,0,0,141.38,Mn,2.7,0,0,773,5,218,3,60000,0.04,4,453,2224,https://doi.org/10.1016/j.jiec.2017.12.053
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,0,0.2,623,2,9,8,94500,0.5,4,598,2090,DOI: 10.1126/sciadv.abi6012
Cu,20.5,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,673,4,125,10,19200,0.17,3.6,533,1990,https://doi.org/10.1016/j.jcat.2013.09.005
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,0,0.2,623,2,9,6,73500,0.5,6,598,1980,DOI: 10.1126/sciadv.abi6012
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,0,0.2,623,2,9,6,73500,0.5,4,598,1830,DOI: 10.1126/sciadv.abi6012
Cu,24.4,138,ZnO,81.38,SBA-15,60,0,0,141.38,0,0,0,0,623,4,245,16.5,30000,1,4,533,1804.8,https://doi.org/10.1016/j.cattod.2013.03.005
Cu,37,138,ZnO,81.38,SBA-15,60,0,0,141.38,0,0,0,0,773,5,228,3,60000,0.04,4,453,1609.6,https://doi.org/10.1016/j.jiec.2017.12.053
Cu,18.9,138,ZnO,81.38,SBA-15,60,0,0,141.38,0,0,0,0,623,4,245,16.5,30000,1,4,533,1536,https://doi.org/10.1016/j.cattod.2013.03.005
Cu,36.7,138,ZnO,81.38,0,0,MCF,60,141.38,Mn,2.8,0,0,573,4,147,3,120000,0.02,4,453,1532.8,https://doi.org/10.1016/j.ijhydene.2018.03.202
Cu,39.5,138,SBA-15,60,0,0,0,0,60,Mn,10,0,0,773,5,255,3,60000,0.04,4,453,1465.6,https://doi.org/10.1016/j.jiec.2017.12.053
Cu,45,138,SBA-15,60,0,0,0,0,60,0,0,0,0,773,5,228,3,60000,0.04,4,453,1369.6,https://doi.org/10.1016/j.jiec.2017.12.053
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,0,0.2,623,2,9,3,42000,0.5,4,598,1350,DOI: 10.1126/sciadv.abi6012
Cu,75,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,773,5,2.92,3,60000,0.04,4,453,1193.6,https://doi.org/10.1016/j.jiec.2017.12.053
Pd,5,131,MCM-15,60,0,0,0,0,60,Cu,9,0,0,623,3,1102,3,3600,0.2,4.1,523,1102,https://doi.org/10.1016/j.apcatb.2015.01.010
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,0,0.2,623,2,9,10,36000,0.5,6,598,1090,DOI: 10.1126/sciadv.abi6012
Cu,3.33,138,CeO2,172.12,0,0,0,0,172.12,Ni ,6.67,0,0,723,4,33.6,3,108000,0.1,3,513,1078.72,https://doi.org/10.1021/acs.iecr.8b01246
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,0,0.2,623,2,9,8,30000,0.5,6,598,1060,DOI: 10.1126/sciadv.abi6012
Cu,20.5,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,673,4,125,12,9700,0.17,3.6,533,1013.8,https://doi.org/10.1016/j.jcat.2013.09.005
Cu,13.35,138,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,673,4,101,4,30000,0.2,5,523,974.58,https://doi.org/10.1016/j.jcat.2019.11.017
Cu,28.2,138,ZnO,81.38,SBA-15,60,0,0,141.38,0,0,0,0,623,4,262,16.5,30000,1,4,533,944,https://doi.org/10.1016/j.cattod.2013.03.005
Cu,13.35,138,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,673,4,101,4,30000,0.2,5,548,881.52,https://doi.org/10.1016/j.jcat.2019.11.017
Cu,20.5,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,673,4,125,14,9700,0.17,3.6,533,878.5,https://doi.org/10.1016/j.jcat.2013.09.005
Cu,20.5,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,673,4,125,16,11000,0.17,3.6,533,878,https://doi.org/10.1016/j.jcat.2013.09.005
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,Carbon,0.2,623,2,9,8,30000,0.5,4,598,870,DOI: 10.1126/sciadv.abi6012
Cu,3.33,138,CeO2,172.12,0,0,0,0,172.12,Ni ,6.67,0,0,723,4,33.6,3,72000,0.1,3,513,852.48,https://doi.org/10.1021/acs.iecr.8b01246
Cu,12.9,138,ZnO,81.38,SBA-15,60,0,0,141.38,0,0,0,0,623,4,237,16.5,30000,1,4,533,816,https://doi.org/10.1016/j.cattod.2013.03.005
In2O3,99.42,144,0,0,0,0,0,0,0,Pt,0.58,0,0,723,3,87.3,3,54000,0.1,4,573,786.59,https://doi.org/10.1016/j.jcat.2020.06.018
Cu,13.35,138,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,673,4,101,4,30000,0.2,5,473,766.31,https://doi.org/10.1016/j.jcat.2019.11.017
In2O3,89.2,144,0,0,0,0,0,0,0,Ir,10.8,0,0,723,3,68,4,21000,0.2,5,573,765,https://doi.org/10.1021/acscatal.0c05628
Cu,13.35,138,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,673,4,101,4,30000,0.2,5,573,720.17,https://doi.org/10.1016/j.jcat.2019.11.017
Cu,8.9,138,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,673,4,44,4,30000,0.2,5,523,715.44,https://doi.org/10.1016/j.jcat.2019.11.017
Cu,35.6,138,ZnO,81.38,0,0,0,0,81.38,Ga ,6,0,0,673,4,102,3,15000,0.2,7,523,704,https://doi.org/10.1016/j.apcatb.2013.05.019
Cu,20.5,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,673,4,125,18,9700,0.17,3.6,533,702.3,https://doi.org/10.1016/j.jcat.2013.09.005
In2O3,99.42,144,0,0,0,0,0,0,0,Pt,0.58,0,0,723,3,87.3,3,42000,0.1,4,573,691.71,https://doi.org/10.1016/j.jcat.2020.06.018
Cu,35.6,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Ga ,6,0,0,673,4,102,3,15000,0.2,6,523,672,https://doi.org/10.1016/j.apcatb.2013.05.019
Cu,40,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,Y,8.3,0,0,773,4,108,3,10000,0.6,7,503,669.19,https://doi.org/10.1039/C5CY00372E
In2O3,16.5,144,ZrO2,123.22,0,0,0,0,123.22,Ni,25.4,Carbon,0.86,623,2,10,3,24000,0.5,4,573,641.89,DOI: 10.1126/sciadv.abi6012
Cu,44.9344,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Ce,5.6,0,0,673,5,61.2,3,1120.7,1,3,503,640.32,https://doi.org/10.1016/j.catcom.2014.05.014
Cu,20.5,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,673,4,125,20,9700,0.17,3.6,533,630.3,https://doi.org/10.1016/j.jcat.2013.09.005
In2O3,99.26,144,0,0,0,0,0,0,0,Pd,0.74,0,0,573,3,174,4,24000,0.1,5,553,618.25,https://doi.org/10.1038/s41467-019-11349-9
In2O3,98.55,144,0,0,0,0,0,0,0,Pd,1.45,0,0,573,3,149,4,24000,0.1,5,553,613.44,https://doi.org/10.1038/s41467-019-11349-9
In2O3,94.3,144,0,0,0,0,0,0,0,Ir,10.8,0,0,723,3,68,4,21000,0.2,5,573,608,https://doi.org/10.1021/acscatal.0c05628
Cu,8.9,138,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,673,4,44,4,30000,0.2,5,473,590.22,https://doi.org/10.1016/j.jcat.2019.11.017
Cu,45.5,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,673,5,83.3,3,1120.7,1,3,503,580.8,https://doi.org/10.1016/j.catcom.2014.05.014
Cu,3.33,138,CeO2,172.12,0,0,0,0,172.12,Ni ,6.67,0,0,723,4,33.6,3,36000,0.1,3,513,579.2,https://doi.org/10.1021/acs.iecr.8b01246
In2O3,99.25,144,0,0,0,0,0,0,0,Pd,0.75,0,0,573,3,131,4,24000,0.1,5,553,578.11,https://doi.org/10.1038/s41467-019-11349-9
In2O3,16.5,144,ZrO2,123.22,0,0,0,0,123.22,Ni,25.4,Carbon,0.86,623,2,10,3,12000,0.5,4,623,574.2,DOI: 10.1126/sciadv.abi6012
In2O3,99.42,144,0,0,0,0,0,0,0,Pt,0.58,0,0,723,3,87.3,3,30000,0.1,4,573,570.4,https://doi.org/10.1016/j.jcat.2020.06.018
Cu,31.4,138,ZnO,81.38,SBA-15,60,0,0,141.38,0,0,0,0,623,4,270,16.5,30000,1,4,533,569.6,https://doi.org/10.1016/j.cattod.2013.03.005
Cu,60.5,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,693,3,78,8,6000,1,5,523,568.87,https://doi.org/10.1016/j.mcat.2020.110776
In2O3,96.57,144,0,0,0,0,0,0,0,Pd,3.43,0,0,573,3,113,4,24000,0.1,5,553,566.79,https://doi.org/10.1038/s41467-019-11349-9
In2O3,99,144,0,0,0,0,0,0,0,Ru,1,0,0,723,3,66,4,21000,0.2,5,573,566.2,https://doi.org/10.1016/j.jcou.2021.101720
Cu,44.9344,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Ce,5.6,0,0,673,5,61.2,3,2241.4,1,3,503,557.12,https://doi.org/10.1016/j.catcom.2014.05.014
Cu,61,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,600,3.5,87,10,15000,1,5,503,555,https://doi.org/10.1016/j.apcata.2014.05.034
Cu,60,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,723,2,22.4,3,12000,0.3,3,513,554.11,https://doi.org/10.1016/j.fuel.2015.03.052
In2O3,16.5,144,ZrO2,123.22,0,0,0,0,123.22,Ni,25.4,Carbon,0.86,623,2,10,3,12000,0.5,4,573,552.29,DOI: 10.1126/sciadv.abi6012
In2O3,90.3,144,0,0,0,0,0,0,0,Ni,0.74,0,0,623,3,97,4,21000,0.1,5,573,551.35,https://doi.org/10.1016/j.jechem.2020.03.083
In2O3,98.93,144,0,0,0,0,0,0,0,Rh,1.07,0,0,723,3,84.6,4,21000,0.2,5,573,540.88,https://doi.org/10.1016/j.cattod.2020.05.020
In2O3,16.5,144,ZrO2,123.22,0,0,0,0,123.22,Ni,25.4,Carbon,0.86,623,2,10,3,18000,0.5,4,573,535.04,DOI: 10.1126/sciadv.abi6012
Cu,4.6,138,CeO2,172.12,0,0,0,0,172.12,In,0.92,0,0,723,4,64.3,3,7200,0.5,3,483,534.96,https://doi.org/10.1021/acsami.1c05586
In2O3,0.92,144,CeO2,172.12,0,0,0,0,172.12,Cu,4.6,0,0,723,4,64.3,3,7200,0.5,3,483,534.96,https://doi.org/10.1021/acsami.1c05586
In2O3,82,144,0,0,0,0,0,0,0,Pt,18,0,0,723,3,63.8,4,21000,0.2,5,573,534.21,https://doi.org/10.1039/D0GC01597K
Cu,61,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,700,3.5,170,10,15000,1,5,503,526,https://doi.org/10.1016/j.apcata.2014.05.034
Cu,40.4,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,Y,7.2,0,0,773,4,93,3,12000,0.5,5,523,520,https://doi.org/10.1016/j.apcata.2013.09.026
Cu,4.6,138,CeO2,172.12,0,0,0,0,172.12,In,0.92,0,0,723,4,64.3,3,7200,0.5,3,533,516.94,https://doi.org/10.1021/acsami.1c05586
In2O3,0.92,144,CeO2,172.12,0,0,0,0,172.12,Cu,4.6,0,0,723,4,64.3,3,7200,0.5,3,533,516.94,https://doi.org/10.1021/acsami.1c05586
Cu,33.1,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,Y,34.1,0,0,773,4,98,3,10000,0.6,7,503,512.16,https://doi.org/10.1039/C5CY00372E
Cu,35.6,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Ga ,6,0,0,673,4,102,3,15000,0.2,4,523,512,https://doi.org/10.1016/j.apcatb.2013.05.019
In2O3,98.9,144,0,0,0,0,0,0,0,Ir,5.67,0,0,723,3,68,4,21000,0.2,5,573,512,https://doi.org/10.1016/j.apcatb.2013.05.019
Cu,35.6,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Ga ,6,0,0,673,4,102,3,15000,0.2,3,523,501.44,https://doi.org/10.1016/j.apcatb.2013.05.019
Cu,4.6,138,CeO2,172.12,0,0,0,0,172.12,In,0.92,0,0,723,4,64.3,3,7200,0.5,3,573,500.14,https://doi.org/10.1021/acsami.1c05586
In2O3,0.92,144,CeO2,172.12,0,0,0,0,172.12,Cu,4.6,0,0,723,4,64.3,3,7200,0.5,3,573,500.14,https://doi.org/10.1021/acsami.1c05586
Cu,28,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,623,3,35.5,3,12000,1,3,513,500,https://doi.org/10.1039/C9RA00658C
Cu,41.6,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,Zr,3.6,0,0,773,4,61,3,12000,0.5,5,523,490,https://doi.org/10.1016/j.apcata.2013.09.026
In2O3,82,144,0,0,0,0,0,0,0,Pt,18,0,0,723,3,63.8,4,21000,0.2,5,548,489.11,https://doi.org/10.1039/D0GC01597K
Cu,29,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,673,4,40,3,4800,0.5,5,553,486,https://doi.org/10.1016/j.cattod.2015.09.028
Cu,36.2,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Ga ,2,0,0,673,4,109,3,15000,0.2,3,523,485.44,https://doi.org/10.1016/j.apcatb.2013.05.019
Cu,45.5507,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,5.3,0,0,673,5,74.1,3,1120.7,1,3,503,483.2,https://doi.org/10.1016/j.catcom.2014.05.014
Cu,57,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,In,9,0,0,693,3,98,8,6000,1,5,523,479.54,https://doi.org/10.1016/j.mcat.2020.110776
Cu,3.33,138,CeO2,172.12,0,0,0,0,172.12,Ni ,6.67,0,0,723,4,33.6,3,36000,0.1,3,533,474.56,https://doi.org/10.1021/acs.iecr.8b01246
Pd,4,131,TiO2,79.86,SiO2,60.08,0,0,139.94,0,0,0,0,673,4,310,3,5400,0.1,0.1,673,469.93,https://doi.org/10.1016/j.mcat.2021.111732
In2O3,10.1,144,ZrO2,123.22,SiO2,0,0,0,123.22,0,0,0,0,573,2,87,4,52000,0.15,0.4,573,463.13,https://doi.org/10.1016/j.apcata.2019.117144
Cu,61,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,600,3.5,227,10,15000,1,5,503,456,https://doi.org/10.1016/j.apcata.2014.05.034
Cu,36.5,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Ga ,1,0,0,673,4,127,3,15000,0.2,3,523,455.36,https://doi.org/10.1016/j.apcatb.2013.05.019
In2O3,99.67,144,0,0,0,0,0,0,0,Ag,0.58,0,0,623,3,89.34,4,21000,0.2,5,573,454.94,https://doi.org/10.1016/j.gee.2021.05.004
In2O3,96.64,144,0,0,0,0,0,0,0,Pd,3.36,0,0,573,3,158,4,24000,0.1,5,553,453.82,https://doi.org/10.1038/s41467-019-11349-9
Cu,29,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,673,4,79,3,4800,0.5,5,533,453,https://doi.org/10.1016/j.cattod.2015.09.028
Cu,45.5,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,673,5,83.3,3,2241.4,1,3,503,452.16,https://doi.org/10.1016/j.catcom.2014.05.014
Cu,60,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,723,2,22.4,3,9000,0.3,3,513,451.11,https://doi.org/10.1016/j.fuel.2015.03.052
Cu,41.1,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,Ce ,5.4,0,0,773,4,55,3,12000,0.5,5,523,450,https://doi.org/10.1016/j.apcata.2013.09.026
Cu,39.2,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,La,9.4,0,0,773,4,53,3,12000,0.5,5,523,440,https://doi.org/10.1016/j.apcata.2013.09.026
Cu,51.5,138,ZnO,81.38,ZrO2,123.22,Al2O3,101.96,306.56,0,0,0,0,623,4,70.9,3,19484,0.5,4,513,435.2,https://doi.org/10.1016/S1004-9541(09)60038-0
Cu,29,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,673,4,40,3,4800,0.5,5,533,429,https://doi.org/10.1016/j.cattod.2015.09.028
In2O3,90.3,144,0,0,0,0,0,0,0,Ni,0.58,0,0,623,3,97,4,21000,0.1,5,548,428.54,https://doi.org/10.1016/j.jechem.2020.03.083
In2O3,16.5,144,ZrO2,123.22,0,0,0,0,123.22,Ni,25.4,Carbon,0.86,623,2,10,3,12000,0.5,4,623,423.86,DOI: 10.1126/sciadv.abi6012
In2O3,9.1,144,ZrO2,123.22,0,0,0,0,123.22,Y,1.5,0,0,573,2,84,4,52000,0.15,0.4,573,423.02,https://doi.org/10.1016/j.apcata.2019.117144
Cu,8.9,138,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,673,4,44,4,30000,0.2,5,548,420.75,https://doi.org/10.1016/j.jcat.2019.11.017
Cu,42.7,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,MN,2.3,0,0,773,4,41,3,12000,0.5,5,523,420,https://doi.org/10.1016/j.apcata.2013.09.026
In2O3,9.9,144,ZrO2,123.22,0,0,0,0,123.22,La,3.4,0,0,573,2,84,4,52000,0.15,0.4,573,417.59,https://doi.org/10.1016/j.apcata.2019.117144
Cu,52,138,ZnO,81.38,ZrO2,123.22,Al2O3,101.96,306.56,0,0,0,0,623,4,69.9,3,19484,0.5,4,513,416,https://doi.org/10.1016/S1004-9541(09)60038-0
Cu,42,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,Y,0,0,0,773,4,39,3,10000,0.6,7,503,414.87,https://doi.org/10.1039/C5CY00372E
Cu,51,138,ZnO,81.38,ZrO2,123.22,Al2O3,101.96,306.56,0,0,0,0,623,4,69.7,3,19484,0.5,4,513,412.6,https://doi.org/10.1016/S1004-9541(09)60038-0
In2O3,94,144,0,0,0,0,0,0,0,Ni,6,0,0,623,3,54,3,60000,0.05,3,573,410,https://doi.org/10.1021/acscatal.1c03170
In2O3,16.5,144,ZrO2,123.22,0,0,0,0,123.22,Ni,25.4,Carbon,0.86,623,2,10,3,12000,0.5,4,573,408.69,DOI: 10.1126/sciadv.abi6012
In2O3,16.5,144,ZrO2,123.22,0,0,0,0,123.22,Ni,25.4,Carbon,0.86,623,2,10,3,12000,0.5,4,573,405.05,DOI: 10.1126/sciadv.abi6012
Cu,44.9344,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Ce,5.6,0,0,673,5,61.2,3,4482.8,1,3,503,395.2,https://doi.org/10.1016/j.catcom.2014.05.014
Cu,52.5,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,4,68.8,3,19484,0.5,4,513,391,https://doi.org/10.1016/S1004-9541(09)60038-0
Cu,40,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,Y,8.3,0,0,773,4,108,3,10000,0.6,5,503,390,https://doi.org/10.1039/C5CY00372E
Cu,47,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,Graphene ,10,0,0,623,6,147.8,3,12000,0.5,3,523,389.82,https://doi.org/10.1155/2014/690514
Cu,45.98,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,La,5,0,0,673,5,72.5,3,2241.4,1,3,503,388.26,https://doi.org/10.1016/j.catcom.2014.05.014
Cu,44.9344,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Ce,5.6,0,0,673,5,72.5,3,2241.4,1,3,503,388.26,https://doi.org/10.1016/j.catcom.2014.05.014
In2O3,98.93,144,0,0,0,0,0,0,0,Rh,1.07,0,0,723,3,84.6,4,21000,0.2,5,548,383.43,https://doi.org/10.1016/j.cattod.2020.05.020
Cu,61.2,138,AlCeO,215.1,0,0,0,0,215.1,0,0,0,0,673,2,80,3,14400,0.4,3,533,380.8,https://doi.org/10.1016/j.cattod.2019.01.015
Cu,5.4,138,ZnO,81.38,0,0,0,0,81.38,Ga ,2.5,0,0,873,2,10,3,18000,0.5,2,543,377.76,https://doi.org/10.1016/S0926-3373(01)00203-X
Cu,80,138,0,0,0,0,0,0,0,Mn ,20,0,0,773,5,14.4,3,60000,0.04,4,453,377.6,https://doi.org/10.1016/j.jiec.2017.12.053
In2O3,10.1,144,ZrO2,123.22,0,0,0,0,123.22,0,0,0,0,573,2,87,4,52000,0.15,0.4,558,377.49,https://doi.org/10.1016/j.apcata.2019.117144
Cu,4.37,138,ZnO,81.38,ZrO2,123.22,SBA-15,60,264.6,0,0,0,0,623,3,433,3,44000,0.45,3,523,376,https://doi.org/10.1016/j.apcatb.2019.117941
Cu,22.1,138,ZrO2,123.22,0,0,0,0,123.22,In,3.11,0,0,723,4,152,3,18000,0.2,3,533,374.66,https://doi.org/10.1016/j.apcata.2020.117805
Cu,45,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,623,3,23.7,3,12000,1,3,513,370,https://doi.org/10.1039/C9RA00658C
In2O3,8.4,144,ZrO2,123.22,0,0,0,0,123.22,Y,2.3,0,0,573,2,84,4,52000,0.15,0.4,573,367.73,https://doi.org/10.1016/j.apcata.2019.117144
Cu,29,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,673,4,40,3,4800,0.5,5,573,366,https://doi.org/10.1016/j.cattod.2015.09.028
In2O3,94,144,0,0,0,0,0,0,0,Ni,6,0,0,623,3,54,3,60000,0.05,3,548,360,https://doi.org/10.1021/acscatal.1c03170
In2O3,97.39,144,0,0,0,0,0,0,0,Ni,2.61,0,0,573,3,69,4,24000,0.1,5,553,358.53,https://doi.org/10.1038/s41467-021-22224-x
Cu,61,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,600,3.5,192,10,15000,1,5,503,355,https://doi.org/10.1016/j.apcata.2014.05.034
Cu,44.935,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Nd,5,0,0,673,5,67.4,3,1120.7,1,3,503,354.56,https://doi.org/10.1016/j.catcom.2014.05.014
Pd,4,131,TiO2,79.86,SiO2,60.08,0,0,139.94,0,0,0,0,673,4,329,3,5400,0.1,0.1,673,352.55,https://doi.org/10.1016/j.mcat.2021.111732
In2O3,98.97,144,0,0,0,0,0,0,0,Ni,1.03,0,0,573,3,70,4,24000,0.1,5,553,352.28,https://doi.org/10.1038/s41467-021-22224-x
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,573,5,60,3,9000,1,5,633,350.78,DOI: 10.1126/sciadv.aaz2060
Cu,39,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,Y,23.2,0,0,773,4,108,3,10000,0.6,5,503,350,https://doi.org/10.1039/C5CY00372E
Cu,45.5507,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,5.3,0,0,673,5,74.1,3,2241.4,1,3,503,349.76,https://doi.org/10.1016/j.catcom.2014.05.014
Cu,4.7,138,SiO2,60.08,0,0,0,0,60.08,Zn,2.6,Ga,1.7,873,2,157,3,18000,0.5,2,543,349.25,https://doi.org/10.1016/S0926-3373(00)00205-8
Cu,40,138,ZnO,81.38,AlOOH,59.9,0,0,141.28,0,0,0,0,623,2,96.9,3,8000,1.2,5,523,348.7,DOI: 10.1007/s11814-017-0230-y
Cu,29,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,673,4,79,3,4800,0.5,5,553,346,https://doi.org/10.1016/j.cattod.2015.09.028
Cu,5.4,138,ZnO,81.38,0,0,0,0,81.38,Ga ,2.5,0,0,873,2,10,3,18000,0.5,2,533,343.62,https://doi.org/10.1016/S0926-3373(01)00203-X
In2O3,9.9,144,ZrO2,123.22,0,0,0,0,123.22,La,3.4,0,0,573,2,84,4,52000,0.15,0.4,558,343.34,https://doi.org/10.1016/j.apcata.2019.117144
Cu,42,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,773,4,39,3,12000,0.5,5,523,340,https://doi.org/10.1016/j.apcata.2013.09.026
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,723,3,72.9,4,21000,0.2,5,573,339.78,https://doi.org/10.1016/j.cattod.2020.05.020
Cu,45.98,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,La,5,0,0,673,5,72.5,3,4482.8,1,3,503,338.47,https://doi.org/10.1016/j.catcom.2014.05.014
Cu,44.9344,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Ce,5.6,0,0,673,5,72.5,3,4482.8,1,3,503,338.47,https://doi.org/10.1016/j.catcom.2014.05.014
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,723,3,81.8,4,21000,0.2,5,573,338.03,https://doi.org/10.1016/j.jcou.2021.101720
In2O3,100,144,0,0,0,0,0,0,0,0,0.34,0,0,723,3,82.81,4,21000,0.2,5,573,336.45,https://doi.org/10.1016/j.gee.2021.05.004
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,723,3,65.8,4,21000,0.2,5,573,333.2,https://doi.org/10.1039/D0GC01597K
In2O3,94.79,144,0,0,0,0,0,0,0,Ni,5.21,0,0,573,3,75,4,24000,0.1,5,553,332.28,https://doi.org/10.1038/s41467-021-22224-x
Cu,41.4,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,Y,4.2,0,0,773,4,74,3,10000,0.6,5,503,330,https://doi.org/10.1039/C5CY00372E
Cu,61.2,138,AlCeO,215.1,0,0,0,0,215.1,0,0,0,0,673,2,80,3,14400,0.4,3,513,329.6,https://doi.org/10.1016/j.cattod.2019.01.015
Cu,45.98,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,La,5,0,0,673,5,72.5,3,2241.4,1,3,503,328.93,https://doi.org/10.1016/j.catcom.2014.05.014
In2O3,8.4,144,ZrO2,123.22,0,0,0,0,123.22,Y,2.9,0,0,573,2,88,4,52000,0.15,0.4,573,328.71,https://doi.org/10.1016/j.apcata.2019.117144
Cu,45.98,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,La,5,0,0,673,5,72.5,3,1120.7,1,3,503,327.52,https://doi.org/10.1016/j.catcom.2014.05.014
Cu,44.9344,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Ce,5.6,0,0,673,5,72.5,3,1120.7,1,3,503,327.52,https://doi.org/10.1016/j.catcom.2014.05.014
